id,category,skip,candidate_text,generated_by,quality_score,quality_flags,rubric_score,rubric_reason
G01,funding,0,Congratulations on closing the seed round! It must be exciting to scale the team and bring in dedicated roles like customer success. How do you plan to ensure that the new hires integrate well with the existing team culture?,openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G02,funding,0,"Congrats on the Series A, Derek! Expanding into the US sounds exciting—what specific challenges do you anticipate as you scale the engineering team?",openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G03,funding,0,It's inspiring to see how personal experiences drive innovation in healthtech. What specific challenges have you faced while transitioning clinics from paper to digital tools? I'd love to hear more about the impact you've seen on patient outcomes since implementing these changes.,openrouter:openai/gpt-4o-mini,100,,3,referenced the case's specific hook: ['paper']
G04,funding,0,"Raising a bridge is a smart approach, especially in this environment. What strategies are you considering to improve retention while you're focused on extending runway?",openrouter:openai/gpt-4o-mini,100,R5,3,"referenced the case's specific hook: ['bridge', 'retention']"
G05,funding,0,"It sounds like you made some tough decisions to get to profitability, which is no small feat. What strategies did you find most effective in cutting costs while keeping your core team intact?",openrouter:openai/gpt-4o-mini,75,R3;R5,1,passed the gate but generic -- no personalization signal at all
G06,hiring,0,"Exciting to see you're expanding the team! With a remote-first approach and no meetings before 11am, how has that shaped the team's collaboration and productivity? Would love to hear any insights you’ve gained from this structure.",openrouter:openai/gpt-4o-mini,100,,3,referenced the case's specific hook: ['11am']
G07,hiring,0,"Congrats on the new role! Activation is such a crucial focus. What specific strategies are you considering to drive activation at Brightline, especially given your experience in building that function before?",openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G08,hiring,0,Finding the right senior SRE for a payments system can really make or break a project. Have you had any luck with specific channels or strategies that seem to yield better candidates for these urgent roles?,openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G09,hiring,0,Congrats on Jade's promotion! It’s great to see discipline rewarded. How do you think consistent CRM updates impact overall sales performance in the long run?,openrouter:openai/gpt-4o-mini,100,,3,referenced the case's specific hook: ['crm']
G10,hiring,0,It's a tough situation for everyone involved. I'm curious about how you're approaching the transition for those who might return versus the new hires. What strategies are you considering to integrate both groups into the new team?,openrouter:openai/gpt-4o-mini,75,R3;R5,1,passed the gate but generic -- no personalization signal at all
G11,thought_leadership,0,Measuring activation through day-30 retention really shifts the narrative. It’s interesting to see how that perspective changes priorities. What changes have you made to your approach since adopting this metric?,openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G12,thought_leadership,0,I totally agree with your take on MQLs. It’s all about real engagement. Have you found any specific strategies that help drive those meaningful conversations over the vanity metrics?,openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G13,thought_leadership,0,Your observation about week-two churn hits home. It’s surprising how many companies miss the chance to reinforce value early on. What’s been your approach to keeping users engaged after that initial excitement fades?,openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G14,thought_leadership,0,"That's a fascinating insight, Dana. It makes me wonder how you approached the onboarding experience to encourage those early invites. Have you noticed any other patterns in user behavior that correlate with retention?",openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G15,thought_leadership,0,"You raise a valid point, Idris. It’s interesting how often companies claim to be customer-centric but fail to act on feedback. Have you seen any effective strategies in your experience that actually bridge that gap?",openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G16,product_launch,0,That sounds like a useful feature! I can imagine how much time it saves. Have you noticed any immediate impact on user engagement or efficiency since launching it?,openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G17,product_launch,0,"It's great to see you taking that approach with the public beta. User feedback can be invaluable, especially for something like the export flow. Have you considered adding an in-app feedback tool to capture insights as users navigate that feature?",openrouter:openai/gpt-4o-mini,100,,3,referenced the case's specific hook: ['export']
G18,product_launch,0,It's great to see a full relaunch after a tough year. What specific changes did you find most impactful in the new onboarding flow? Looking forward to hearing how it performs!,openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G19,product_launch,0,"That’s a smart move, Priya. It’s interesting how much friction we create with unnecessary fields. Have you seen any other changes to the funnel since simplifying the form?",openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G20,product_launch,0,"It's tough to let go of something you've invested in, but sometimes it's necessary for growth. Have you found new features or offerings that resonate better with your users since making that decision?",openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G21,personal_milestone,0,"Five years is a significant milestone! It’s interesting how both successes and challenges shape our growth. Any particular project that taught you a lot, even if it didn’t go as planned?",openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G22,personal_milestone,0,"It's good to hear you found clarity in your role. Managing a team can be challenging, especially when you're unsure about it. What helped the most in turning that uncertainty around for you?",openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G23,personal_milestone,0,"That’s quite an achievement, Fatima! Balancing a full-time job and family while completing a master’s program is no small feat. How did you manage to juggle your studies with family responsibilities?",openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G24,personal_milestone,0,It’s tough getting back into the groove after a long break. I found it helpful to create a quick reference guide for tools and processes when I returned to work. Have you thought about any strategies to ease back into your routine?,openrouter:openai/gpt-4o-mini,75,R3,3,referenced the case's specific hook: ['tool']
G25,personal_milestone,0,"Congrats on finishing your first marathon, Ben! That’s an incredible achievement. It’s amazing how accountability can motivate us—did you have any specific strategies or support from your coworkers that helped you stay on track during your training?",openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G26,layoff,0,"It's tough to navigate those decisions, and it takes a lot of courage to own it. In your experience, what’s been the most effective approach to maintain team morale during such transitions?",openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G27,layoff,0,"I can’t imagine how tough this transition must be for you. In your experience with launches, what do you think has been the most important factor in driving user engagement? Your insights could really help others in similar situations.",openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G28,layoff,1,Optimizing the workforce is a significant step towards sustainable growth. How are you ensuring that the remaining team members are supported during this transition? It’s crucial to maintain morale and engagement during such changes.,openrouter:openai/gpt-4o-mini,100,,0,commented on a SKIP case (gold standard: no comment at all)
G29,condolence,1,I'm really sorry to hear about Ravi. It's clear he played a pivotal role in your journey. How are you and the team planning to honor his legacy moving forward?,openrouter:openai/gpt-4o-mini,75,R3,0,commented on a SKIP case (gold standard: no comment at all)
G30,condolence,1,"I'm really sorry to hear about your father, Marcus. Taking that time to grieve is so important. If you feel comfortable sharing, what are some of the ways you’re planning to honor his memory during this time?",openrouter:openai/gpt-4o-mini,100,,0,commented on a SKIP case (gold standard: no comment at all)
