id,category,full_name,title,company,industry,source_post,ideal_comment,notes,hooks,tone_risk,skip
G01,funding,Sana Patel,Founder & CEO,,SaaS,"We closed our $4M seed round. This one's for the 11 people who joined when we were three people and a Figma file. More engineers, one designer, and finally a person whose whole job is talking to customers instead of me doing it at 11pm.",The part that'll actually matter in six months is someone owning customer conversations full-time instead of it being your 11pm job. What made you wait this long to hire for that?,Standard good case. Specific detail (the 11pm line) is there to reward.,11pm,0,0
G02,funding,Derek Osei,Co-founder,,Software,Announcing our Series A: $18M led by Northlight Ventures. We'll use it to expand from the UK into the US and double the eng team. Huge thanks to our early customers who let us build this in public with them.,"UK to US is a different sales motion, not just more of the same one -- what's changing first, the pricing or the team you're hiring for it?",Standard good case.,uk to us|sales motion,0,0
G03,funding,Marie Callaghan,CEO,,Healthtech,"Proud to share our Series B, $32M, to keep building tools for independent clinics tracking patient outcomes. We started this because my mother's clinic was still doing this on paper in 2021.",Starting from your mother's clinic doing this on paper is a much better reason than most Series B posts give -- did the product change once you saw it used somewhere that wasn't a paper process to begin with?,"Standard good case; reward referencing the specific origin detail, not generic 'congrats'.",mother|paper,0,0
G04,funding,Tom Reyes,Founder,,SaaS,"We're raising a bridge, not a victory-lap round. $2.5M to get to 18 months of runway while we fix retention. I'd rather say that plainly than dress it up as something else.",Saying 'bridge to fix retention' plainly instead of dressing it up is rarer than it should be. What's the retention number you're actually trying to move first?,Reward the comment for matching the founder's own honest framing rather than congratulating a 'win' that wasn't presented as one -- a generic 'congrats on the raise!' misreads the post's tone entirely.,bridge|retention,1,0
G05,funding,Priya Nathan,Founder,,SaaS,"We tried to raise for four months and couldn't close a round on terms we'd sign. So we're not raising. We cut costs, kept the team that matters, and we're profitable as of last month. Not the post I expected to write this year.","Getting to profitable after a raise falls through is a much harder story to tell than closing a round, and a much more useful one for anyone else reading this right now. What got cut first?","A congratulatory or funding-cheerleading comment here is tone-deaf -- this is a story about resilience after failing to raise, not a funding win.",profitable|four months,1,0
G06,hiring,Champions Ranch Careers,Careers,,SaaS,"We're hiring 5 backend engineers and 2 product designers. Remote-first, async by default, no meetings before 11am. Link to the roles in the comments.",No meetings before 11am is doing a lot of the recruiting work in this post already -- is that a written policy or just how the team happens to work right now?,"Standard good case; the specific perk detail is the personalization hook, not the job link.",11am,0,0
G07,hiring,Ade Okonkwo,VP of Growth,Brightline Analytics,SaaS,"I'm thrilled to share that I've joined Brightline Analytics as VP of Growth. After 6 years building the growth function at my last company, I'm excited for a new challenge with a team that's obsessed with activation the way I am.",Six years is long enough that whatever you built there has your fingerprints all over it -- what's the first thing you're rebuilding from scratch here versus carrying over?,Standard good case.,6 years|fingerprints,0,0
G08,hiring,Lena Forsythe,Talent Partner,,Fintech,"Urgent: we need a senior SRE who's dealt with a payments system at scale. This is a real fire, not a 'nice to have' req. DM me if that's you or you know someone.","'Real fire, not a nice-to-have' is an unusually honest way to post a req -- is this a growth problem or an incident that's still ongoing?",Standard good case.,fire,0,0
G09,hiring,Marcus Webb,Head of Sales,,SaaS,Promoting Jade Lin from SDR to Account Executive after 14 months of her being the most disciplined person on the team about updating the CRM. That discipline is exactly why she's getting her own book now.,"Getting promoted because you kept the CRM clean is a funny and completely believable reason -- did that discipline come from somewhere before this job, or did the job teach her that?","Standard good case; reward comments engaging with the specific 'why', not generic promotion congrats.",crm,0,0
G10,hiring,Northfield Systems,Company page,,Software,We laid off 40 people in March. We're now hiring 6 engineers for a new team. We know how that looks. Several of the roles are open to anyone we let go in March who wants to come back.,"Naming that it looks bad, in the post itself, is the only reason this doesn't read as tone-deaf -- are the open-to-rehire roles the same roles that were cut, or genuinely new ones?","The tension (layoffs then hiring months later) is the point of this case -- a comment that ignores it and just says 'great, hiring!' misses what the post is actually about.",march,1,0
G11,thought_leadership,Jonah Iverson,VP Growth,,SaaS,"Everyone measures activation on day 1 or day 7. We started measuring day 30 retention of people who activated versus people who didn't, and the day-1 number stopped meaning anything to us. Activation that doesn't survive a month isn't activation.",Watching the day-1 number stop mattering once you had a day-30 lens on it is the kind of thing that only shows up after you've already made the mistake once -- what did you do with the metric you dropped?,"Standard good case; the bot should engage with the specific claim, not restate it back generically.",day 30|day-1,0,0
G12,thought_leadership,Camille Beaumont,Head of Demand Gen,,SaaS,"MQLs are a vanity metric dressed up as a pipeline metric. I'd rather report zero MQLs and 12 real conversations than 400 MQLs and 2 conversations, and I've started saying that in board meetings.","Saying that in a board meeting is the harder version of this opinion -- did the room agree with you, or did you have to fight for the 12-conversations number to count as a real result?","Contrarian/opinion post; reward a comment that pushes back or asks about the harder real-world consequence (the board reaction), not one that just agrees.",board,0,0
G13,thought_leadership,Rafael Ochoa,Founder,,SaaS,"Three years in, the biggest lesson is that most churn isn't a product problem, it's a week-two problem. Nobody builds a reason to come back on day nine, and then everyone is surprised at the day-ninety number.",Week-two and day-ninety are pretty far apart to connect like that -- what's the thing you actually built to give someone a reason to come back on day nine?,Standard good case.,day nine|day-ninety,0,0
G14,thought_leadership,Dana Whitfield,Data Lead,,SaaS,"We pulled 40,000 onboarding sessions and the single biggest predictor of week-4 retention wasn't feature usage, it was whether the user invited a teammate in the first 48 hours. Nothing else came close.","Nothing else coming close is a stronger claim than most 'we found a correlation' posts make -- did you test whether prompting the invite actually caused the retention, or just noticed the two moved together?","Data-driven post; reward a comment that questions correlation vs. causation specifically, since that's the real gap in the claim as stated.",48 hours,0,0
G15,thought_leadership,Idris Bello,Founder,,SaaS,Unpopular opinion: most 'customer obsessed' companies have never once changed a roadmap decision because of a customer call. They just relabeled the roadmap meeting. I include companies I've worked at in this.,Including your own past companies in the criticism is what keeps this from being a cheap shot at everyone else -- what's the roadmap decision you personally didn't change when you probably should have?,"Polarizing/contrarian post; reward engaging with the self-implicating detail specifically, since that's what makes the claim credible rather than generic griping.",roadmap,0,0
G16,product_launch,Sophie Marchetti,Head of Product,,SaaS,"Launching bulk actions in the review queue today. If you've ever had 200 items sitting in a queue and clicked 'approve' 200 times, this is for you. Small feature, but it's the one we got asked for the most.","200 individual clicks is a very specific number to have watched someone actually do -- was there a real customer session where you saw that happen, or is that the support-ticket number?",Standard good case; the specificity is the '200 clicks' detail.,200,0,0
G17,product_launch,Elliot Vance,Founder,,SaaS,"Public beta is open. No waitlist, no invite code, just a link. We spent 8 months on this and the honest answer is it's still rough in a couple of places -- the export flow especially. Tell us where it breaks.",Naming the export flow as the rough spot before anyone else finds it is the right instinct -- is that a data-format problem or a how-long-it-takes problem?,"Standard good case; reward engaging with the named weak spot, not a generic 'exciting, congrats!'.",export,0,0
G18,product_launch,Grace Odutayo,CEO,,SaaS,We rebuilt the whole onboarding flow and relaunched it this week under a new name after the last one quietly failed to land for a year. Not proud of year one. Proud of this.,"'Not proud of year one, proud of this' is an unusually blunt way to frame a relaunch -- what told you the first version had actually failed, versus just being slow to take off?","Relaunch-after-failure framing; reward a comment that acknowledges the honest framing rather than treating it as a normal, upbeat launch post.",year one,1,0
G19,product_launch,Priya Sharma,Growth Lead,BrightMetrics,SaaS,"We cut our signup form from nine fields to two. Conversion went up 40% and, to my surprise, lead quality didn't move at all. The extra seven fields were buying us nothing but a slower funnel.",Lead quality not moving at all is the part most teams would be too nervous to test -- did you have to convince anyone internally that the extra fields weren't doing real qualification work?,"Standard good case (real product data point from the existing fixtures, reused for continuity).",nine fields|lead quality,0,0
G20,product_launch,Owen Castellano,Founder,,SaaS,"We're sunsetting our original AI-summary feature next month. It was our first launch, it never got the adoption we hoped, and keeping it half-maintained was worse than admitting that and shutting it down.","Killing your own first launch is a harder post to write than shipping a new one -- was the low adoption visible early, or did it take a while to admit it wasn't going to turn around?","Sunset/failure-admission post; reward engaging honestly with the shutdown, not congratulating it like a normal launch.",adoption|sunsetting,1,0
G21,personal_milestone,Renata Silva,Senior Engineer,,Software,Five years at Fernbank today. I've shipped things I'm proud of and a couple I quietly hope nobody looks at too closely. Grateful for both kinds of years.,Admitting there are a couple you hope nobody looks at too closely is the honest version of a work-anniversary post -- is there one of those you'd actually go back and rebuild if you had the time now?,Standard good case; the specific hook is the 'don't look too closely' admission.,too closely,0,0
G22,personal_milestone,Jamal Osei,Director of Engineering,,Software,"Promoted to Director of Engineering. Six months ago I wasn't sure I wanted to keep managing people at all. Glad I stuck with it, and glad the team told me when I was doing it badly.","Six months from unsure-you-wanted-this to Director is a fast turn -- what actually changed, the job or how you were doing it?","Standard good case; reward the specific detail (team telling him when he was doing it badly), not a generic 'congrats on the promotion!'.",six months,0,0
G23,personal_milestone,Fatima Al-Rashid,Data Scientist,,SaaS,"Finished my part-time master's in data science last night, three years after starting it while working full-time. My kids stayed up to watch the ceremony on my laptop at 11pm their time.","Three years part-time while working full-time is the actual achievement here, the ceremony is just the last five minutes of it -- what almost made you quit partway through?",Standard good case.,three years|kids,0,0
G24,personal_milestone,Nadia Kowalski,Product Manager,,SaaS,"Back at work today after 7 months of parental leave. First meeting back, I forgot the name of a tool we use every day. Reintroducing myself to my own job, slowly.","Forgetting the tool name on day one is a much more honest re-entry story than 'excited to be back!' -- is it the tools that feel different, or the team itself?","Standard good case; reward engaging with the specific, slightly vulnerable detail.",forgot|tool,0,0
G25,personal_milestone,Ben Okafor,Engineer,,Software,"Ran my first marathon yesterday. 4:42, which is nowhere near fast, but a year ago I couldn't run for a bus. Posting this here because half the people who kept me accountable were people from work.",Work people being the accountability group is the actual reason this belongs on LinkedIn instead of feeling out of place here -- did anyone from work show up to watch?,Standard good case; non-work milestone but explicitly tied back to work relationships in the post.,bus|accountable,0,0
G26,layoff,Victor Hammond,CEO,,SaaS,"Today we let go of 30 people, about 18% of the company. This is on me: I hired ahead of revenue that didn't show up on the timeline I expected. If you're hiring for growth, marketing, or ops roles, the people affected are excellent and I'll gladly make an introduction.","Naming it as your own hiring-ahead-of-revenue call, not 'market conditions,' is the part worth responding to directly. Happy to keep an eye out on our side for the growth and ops folks.","Reward taking real ownership and offering something concrete (keeping an eye out), not a generic 'sorry to hear this' or, worse, a pitch. No question needed here -- an ask feels wrong.",ahead of revenue|introduction,1,0
G27,layoff,Isabel Tran,Product Marketer,,SaaS,"I was laid off on Tuesday along with 40 other people. 6 years as a product marketer, most recently running launches end to end. Open to work, open to relocating, not open to pretending this doesn't sting.","6 years running launches end to end is a real, specific thing to be looking for next, not just a title -- if it's useful, happy to pass your name to a couple of people I know hiring for exactly that.","Reward a concrete, low-effort offer of help over a sympathetic-but-empty comment. Still no 'what strategies are you using in your job search' question -- that reads as content-farming her situation.",end to end|6 years,1,0
