id,category,skip,candidate_text,generated_by,quality_score,quality_flags,rubric_score,rubric_reason
G01,funding,0,Congrats on the seed round! It's impressive to see how your team has grown from just three people. How has having a dedicated customer-focused role changed your approach to product development?,openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G02,funding,0,"Congrats on the Series A, Derek. Expanding into the US is a big step. What strategies are you considering to ensure your product resonates with the new market? I'd love to hear how you're planning to adapt your approach based on feedback from early customers.",openrouter:openai/gpt-4o-mini,100,R1;R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G03,funding,0,It's powerful that your drive comes from such a personal place. Transitioning from paper to digital must have its challenges—what’s been the most surprising feedback from clinics using your tools so far?,openrouter:openai/gpt-4o-mini,100,,3,referenced the case's specific hook: ['paper']
G04,funding,0,It’s refreshing to see such transparency about funding and retention. Fixing retention can feel like a never-ending challenge. What specific strategies are you considering to improve it during this runway?,openrouter:openai/gpt-4o-mini,100,R5,3,referenced the case's specific hook: ['retention']
G05,funding,0,It’s striking to see how you pivoted to profitability amidst the fundraising challenges. What specific changes did you make to cut costs while maintaining the core team? That must have taken some tough decision-making.,openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G06,hiring,0,I like the remote-first approach and the no meetings before 11am policy. It really sets a positive tone for async work. How have you found that impacts team collaboration and productivity?,openrouter:openai/gpt-4o-mini,100,R5,3,referenced the case's specific hook: ['11am']
G07,hiring,0,It's interesting to see how your passion for activation aligns with your new role. What specific strategies are you considering to further enhance the activation process at Brightline?,openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G08,hiring,0,It sounds like you’re facing a critical need. Scaling payments systems can be tough. What specific challenges have come up in your search for senior SREs?,openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G09,hiring,0,"It's great to see discipline rewarded. Updating the CRM can be a mundane task, but it’s crucial for team success. How have you seen Jade's attention to detail impact her sales approach?",openrouter:openai/gpt-4o-mini,100,R5,3,referenced the case's specific hook: ['crm']
G10,hiring,0,It's commendable that you're offering roles back to those you let go. That kind of transparency can really set a precedent in the industry. How are you approaching the reintegration process for those returning?,openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G11,thought_leadership,0,"Measuring day 30 retention really shifts the focus. It makes sense—if it doesn’t stick, what’s the point? Have you noticed any particular strategies that help improve that month-long retention? It’d be interesting to hear what’s worked for you.",openrouter:openai/gpt-4o-mini,100,R1;R5,3,referenced the case's specific hook: ['day 30']
G12,thought_leadership,0,I appreciate your take on MQLs. It’s refreshing to prioritize genuine conversations over vanity metrics. How have you seen that shift impact your team's focus and strategy in the long run?,openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G13,thought_leadership,0,"I’ve noticed the same trend in my work. It’s interesting how the focus shifts after onboarding, yet week two is so crucial. What are some ways you've creatively kept users engaged during that period?",openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G14,thought_leadership,0,That's an interesting finding about teammate invitations being such a strong predictor of retention. Have you noticed any specific trends in how the teams that were invited engage differently compared to those who didn’t?,openrouter:openai/gpt-4o-mini,100,R5,2,"passed the gate, some personalization, but missed this case's specific hook"
G15,thought_leadership,0,You make a solid point about the disconnect between customer feedback and actual changes. I’ve seen companies prioritize internal agendas over real user needs. What do you think could help bridge that gap in decision-making?,openrouter:openai/gpt-4o-mini,80,R4,2,"passed the gate, some personalization, but missed this case's specific hook"
G16,product_launch,0,"That's a huge improvement—200 approvals sounds like a daunting task. I'm curious, how did you prioritize this feature among the other requests? It must feel rewarding to tackle something that had such a direct impact on user experience.",openrouter:openai/gpt-4o-mini,100,,3,referenced the case's specific hook: ['200']
G17,product_launch,0,Launching a public beta without a waitlist is a bold move. It sounds like you’re really embracing user feedback to refine the experience. What’s been the most surprising piece of feedback you’ve received so far?,openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G18,product_launch,0,"It’s tough to pivot after a year of effort, but that kind of honesty can lead to real growth. What were some key insights you gained from the initial onboarding flow that shaped the new approach?",openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G19,product_launch,0,"Cutting down to two fields is a bold move. I’ve seen similar results when simplifying onboarding processes, but it’s great to hear the lead quality stayed consistent. Did you find any specific feedback from users about the shortened form?",openrouter:openai/gpt-4o-mini,100,,3,referenced the case's specific hook: ['lead quality']
G20,product_launch,0,"Shutting down a feature can be tough, especially when it’s something you’ve invested time in. I’ve seen teams struggle with similar decisions—what’s helped you most in handling the transition for your users?",openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G21,personal_milestone,0,Five years is a significant milestone. It's interesting how both the successes and the less-than-perfect projects shape our journey. Is there a particular lesson from one of those projects that still sticks with you?,openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G22,personal_milestone,0,It’s interesting how a shift in perspective can change everything. What was the turning point for you that made you decide to stick with management? I think those moments really define our growth as leaders.,openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G23,personal_milestone,0,"That's an impressive commitment, balancing a full-time job and a master's program while being there for your kids. How did you manage your time during those late nights? Did you find any particular strategies that helped you stay focused?",openrouter:openai/gpt-4o-mini,100,R5,3,referenced the case's specific hook: ['kids']
G24,personal_milestone,0,Coming back after a long leave can feel like a whole new job. I remember forgetting the names of tools too. What strategies are you using to get back into the groove?,openrouter:openai/gpt-4o-mini,75,R3;R5,3,referenced the case's specific hook: ['tool']
G25,personal_milestone,0,"Running a marathon is a huge achievement, especially considering how far you've come in just a year. Did you have a specific training plan, or was it more about building up your stamina over time? It’s great to see the support from your work community, too.",openrouter:openai/gpt-4o-mini,100,,2,"passed the gate, some personalization, but missed this case's specific hook"
G26,layoff,0,"That’s a tough call, but it sounds like you've got a solid plan for the affected team members. Hiring ahead of revenue can be a tricky balance; how do you see this experience shaping your future hiring strategy?",openrouter:openai/gpt-4o-mini,100,R5,3,referenced the case's specific hook: ['ahead of revenue']
G27,layoff,0,"I can’t imagine how tough that must feel, especially after investing six years in your role. What’s been the most surprising part of this transition for you so far? It’s a challenging time, but I hope you find the right opportunity soon.",openrouter:openai/gpt-4o-mini,75,R3,1,passed the gate but generic -- no personalization signal at all
G28,layoff,1,It’s tough to navigate workforce changes while aiming for sustainable growth. What strategies are you implementing to ensure that the remaining team members stay engaged and aligned with the new priorities?,openrouter:openai/gpt-4o-mini,100,R5,0,commented on a SKIP case (gold standard: no comment at all)
G29,condolence,1,I'm so sorry for your loss. It’s incredible how the first line of code can carry such weight in a company’s journey. How are you and the team planning to honor Ravi’s legacy as you move forward?,openrouter:openai/gpt-4o-mini,75,R3,0,commented on a SKIP case (gold standard: no comment at all)
